"angle_a","angle_b","jaccard","pair_label","tool","tool_label"
0,30,1,"0° vs 30°","moransi","MORANSI"
0,45,1,"0° vs 45°","moransi","MORANSI"
0,60,1,"0° vs 60°","moransi","MORANSI"
30,45,1,"30° vs 45°","moransi","MORANSI"
30,60,1,"30° vs 60°","moransi","MORANSI"
45,60,1,"45° vs 60°","moransi","MORANSI"
0,30,0.987254901960784,"0° vs 30°","nnsvg","NNSVG"
0,45,0.990157480314961,"0° vs 45°","nnsvg","NNSVG"
0,60,0.989173228346457,"0° vs 60°","nnsvg","NNSVG"
30,45,0.989205103042198,"30° vs 45°","nnsvg","NNSVG"
30,60,0.992133726647001,"30° vs 60°","nnsvg","NNSVG"
45,60,0.991133004926108,"45° vs 60°","nnsvg","NNSVG"
0,30,0.970021413276231,"0° vs 30°","smash","SMASH"
0,45,0.964930924548353,"0° vs 45°","smash","SMASH"
0,60,0.965153115100317,"0° vs 60°","smash","SMASH"
30,45,0.98371335504886,"30° vs 45°","smash","SMASH"
30,60,0.973175965665236,"30° vs 60°","smash","SMASH"
45,60,0.984962406015038,"45° vs 60°","smash","SMASH"
0,30,0.937290033594625,"0° vs 30°","sparkx","SPARKX"
0,45,0.950782997762864,"0° vs 45°","sparkx","SPARKX"
0,60,0.96551724137931,"0° vs 60°","sparkx","SPARKX"
30,45,0.972190034762457,"30° vs 45°","sparkx","SPARKX"
30,60,0.944757609921082,"30° vs 60°","sparkx","SPARKX"
45,60,0.969422423556059,"45° vs 60°","sparkx","SPARKX"
0,30,0.992292870905588,"0° vs 30°","spatialde","SPATIALDE"
0,45,0.986486486486487,"0° vs 45°","spatialde","SPATIALDE"
0,60,0.992329817833174,"0° vs 60°","spatialde","SPATIALDE"
30,45,0.99031007751938,"30° vs 45°","spatialde","SPATIALDE"
30,60,0.98849472674976,"30° vs 60°","spatialde","SPATIALDE"
45,60,0.980806142034549,"45° vs 60°","spatialde","SPATIALDE"
