"angle_a","angle_b","tau_rotation","pair_label","tool","tool_label"
0,30,0.998620000907894,"0° vs 30°","moransi","MORANSI"
0,45,0.999262789958691,"0° vs 45°","moransi","MORANSI"
0,60,0.999753052794044,"0° vs 60°","moransi","MORANSI"
30,45,0.998434790503427,"30° vs 45°","moransi","MORANSI"
30,60,0.998598211448545,"30° vs 60°","moransi","MORANSI"
45,60,0.999364474102319,"45° vs 60°","moransi","MORANSI"
0,30,0.998548513592078,"0° vs 30° (sig only)","moransi","MORANSI"
0,45,0.999239140189395,"0° vs 45° (sig only)","moransi","MORANSI"
0,60,0.999750281908314,"0° vs 60° (sig only)","moransi","MORANSI"
0,30,0.986530482545735,"0° vs 30°","nnsvg","NNSVG"
0,45,0.986476008897362,"0° vs 45°","nnsvg","NNSVG"
0,60,0.988248218257751,"0° vs 60°","nnsvg","NNSVG"
30,45,0.986363430024059,"30° vs 45°","nnsvg","NNSVG"
30,60,0.98769258704435,"30° vs 60°","nnsvg","NNSVG"
45,60,0.987115166371601,"45° vs 60°","nnsvg","NNSVG"
0,30,0.986567558833035,"0° vs 30° (sig only)","nnsvg","NNSVG"
0,45,0.986645904946578,"0° vs 45° (sig only)","nnsvg","NNSVG"
0,60,0.987938615820039,"0° vs 60° (sig only)","nnsvg","NNSVG"
0,30,0.974581084646713,"0° vs 30°","smash","SMASH"
0,45,0.971146935363997,"0° vs 45°","smash","SMASH"
0,60,0.974398883682122,"0° vs 60°","smash","SMASH"
30,45,0.987471303859968,"30° vs 45°","smash","SMASH"
30,60,0.984830849394332,"30° vs 60°","smash","SMASH"
45,60,0.987404358302832,"45° vs 60°","smash","SMASH"
0,30,0.980108654645159,"0° vs 30° (sig only)","smash","SMASH"
0,45,0.980334511663177,"0° vs 45° (sig only)","smash","SMASH"
0,60,0.980246050810426,"0° vs 60° (sig only)","smash","SMASH"
0,30,0.805672926956813,"0° vs 30°","sparkx","SPARKX"
0,45,0.813420613021052,"0° vs 45°","sparkx","SPARKX"
0,60,0.849669796515736,"0° vs 60°","sparkx","SPARKX"
30,45,0.928212549686217,"30° vs 45°","sparkx","SPARKX"
30,60,0.849367378214859,"30° vs 60°","sparkx","SPARKX"
45,60,0.893997526888856,"45° vs 60°","sparkx","SPARKX"
0,30,0.756873468014844,"0° vs 30° (sig only)","sparkx","SPARKX"
0,45,0.768450452758373,"0° vs 45° (sig only)","sparkx","SPARKX"
0,60,0.811458203165695,"0° vs 60° (sig only)","sparkx","SPARKX"
0,30,0.571515730407722,"0° vs 30°","spatialde","SPATIALDE"
0,45,0.588142260922811,"0° vs 45°","spatialde","SPATIALDE"
0,60,0.570007562956536,"0° vs 60°","spatialde","SPATIALDE"
30,45,0.975883148174848,"30° vs 45°","spatialde","SPATIALDE"
30,60,0.97585205994365,"30° vs 60°","spatialde","SPATIALDE"
45,60,0.969873545559229,"45° vs 60°","spatialde","SPATIALDE"
0,30,0.588796177043303,"0° vs 30° (sig only)","spatialde","SPATIALDE"
0,45,0.594210359427751,"0° vs 45° (sig only)","spatialde","SPATIALDE"
0,60,0.591094129310433,"0° vs 60° (sig only)","spatialde","SPATIALDE"
