"TP","TN","FP","FN","Sensitivity","Specificity","Precision","FDR","F1","MCC","BalancedAccuracy","angle","tool","tool_label"
984,21,29,16,0.984,0.42,0.97137216189536,0.0286278381046397,0.977645305514158,0.466617242183594,0.702,0,"moransi","MORANSI"
984,21,29,16,0.984,0.42,0.97137216189536,0.0286278381046397,0.977645305514158,0.466617242183594,0.702,30,"moransi","MORANSI"
983,21,29,17,0.983,0.42,0.971343873517787,0.0286561264822134,0.97713717693837,0.459523783218516,0.7015,45,"moransi","MORANSI"
984,21,29,16,0.984,0.42,0.97137216189536,0.0286278381046397,0.977645305514158,0.466617242183594,0.702,60,"moransi","MORANSI"
981,20,30,19,0.981,0.4,0.970326409495549,0.029673590504451,0.975634012928891,0.429044260423583,0.6905,0,"nnsvg","NNSVG"
986,22,28,14,0.986,0.44,0.972386587771203,0.0276134122287968,0.979145978152929,0.498567969011113,0.713,30,"nnsvg","NNSVG"
984,23,27,16,0.984,0.46,0.973293768545994,0.0267062314540059,0.978617603182496,0.499988586950318,0.722,45,"nnsvg","NNSVG"
983,23,27,17,0.983,0.46,0.973267326732673,0.0267326732673267,0.978109452736318,0.492831031635158,0.7215,60,"nnsvg","NNSVG"
931,50,0,69,0.931,1,1,0,0.964267219057483,0.625441020871061,0.9655,0,"smash","SMASH"
910,50,0,90,0.91,1,1,0,0.952879581151832,0.570087712549569,0.955,30,"smash","SMASH"
917,49,1,83,0.917,0.98,0.998910675381264,0.00108932461873638,0.956204379562044,0.576194540536672,0.9485,45,"smash","SMASH"
927,47,3,73,0.927,0.94,0.996774193548387,0.0032258064516129,0.960621761658031,0.580325965132055,0.9335,60,"smash","SMASH"
886,50,0,114,0.886,1,1,0,0.939554612937434,0.51973257663871,0.943,0,"sparkx","SPARKX"
844,50,0,156,0.844,1,1,0,0.915401301518438,0.45260840572402,0.922,30,"sparkx","SPARKX"
858,50,0,142,0.858,1,1,0,0.923573735199139,0.472691760029726,0.929,45,"sparkx","SPARKX"
881,50,0,119,0.881,1,1,0,0.936735778841042,0.510539800186004,0.9405,60,"sparkx","SPARKX"
999,13,37,1,0.999,0.26,0.964285714285714,0.0357142857142857,0.981335952848723,0.480884601541784,0.6295,0,"spatialde","SPATIALDE"
996,9,41,4,0.996,0.18,0.96046287367406,0.0395371263259402,0.977908689248895,0.338950762814879,0.588,30,"spatialde","SPATIALDE"
999,5,45,1,0.999,0.1,0.956896551724138,0.0431034482758621,0.977495107632094,0.279701195243584,0.5495,45,"spatialde","SPATIALDE"
993,18,32,7,0.993,0.36,0.968780487804878,0.031219512195122,0.980740740740741,0.493091788813322,0.6765,60,"spatialde","SPATIALDE"
