"tool","tool_label","metric","classification_tau"
"moransi","MORANSI","Sensitivity",-0.258198889747161
"moransi","MORANSI","Specificity",NA
"moransi","MORANSI","Precision",-0.258198889747161
"moransi","MORANSI","FDR",0.258198889747161
"moransi","MORANSI","F1",-0.258198889747161
"moransi","MORANSI","MCC",-0.258198889747161
"moransi","MORANSI","BalancedAccuracy",-0.258198889747161
"nnsvg","NNSVG","Sensitivity",0.2
"nnsvg","NNSVG","Specificity",0.948683298050514
"nnsvg","NNSVG","Precision",0.8
"nnsvg","NNSVG","FDR",-0.8
"nnsvg","NNSVG","F1",0.2
"nnsvg","NNSVG","MCC",0.4
"nnsvg","NNSVG","BalancedAccuracy",0.8
"smash","SMASH","Sensitivity",-0.2
"smash","SMASH","Specificity",-0.948683298050514
"smash","SMASH","Precision",-0.948683298050514
"smash","SMASH","FDR",0.948683298050514
"smash","SMASH","F1",-0.2
"smash","SMASH","MCC",-0.2
"smash","SMASH","BalancedAccuracy",-1
"sparkx","SPARKX","Sensitivity",-0.2
"sparkx","SPARKX","Specificity",NA
"sparkx","SPARKX","Precision",NA
"sparkx","SPARKX","FDR",NA
"sparkx","SPARKX","F1",-0.2
"sparkx","SPARKX","MCC",-0.2
"sparkx","SPARKX","BalancedAccuracy",-0.2
"spatialde","SPATIALDE","Sensitivity",-0.632455532033676
"spatialde","SPATIALDE","Specificity",0.2
"spatialde","SPATIALDE","Precision",0.2
"spatialde","SPATIALDE","FDR",-0.2
"spatialde","SPATIALDE","F1",-0.4
"spatialde","SPATIALDE","MCC",0.2
"spatialde","SPATIALDE","BalancedAccuracy",0.2
