"tool","tool_label","angle_a","angle_b","jaccard","pair_label"
"moransi","MORANSI",0,30,1,"0° vs 30°"
"moransi","MORANSI",0,45,0.999012833168806,"0° vs 45°"
"moransi","MORANSI",0,60,1,"0° vs 60°"
"moransi","MORANSI",30,45,0.999012833168806,"30° vs 45°"
"moransi","MORANSI",30,60,1,"30° vs 60°"
"moransi","MORANSI",45,60,0.999012833168806,"45° vs 60°"
"nnsvg","NNSVG",0,30,0.987242394504416,"0° vs 30°"
"nnsvg","NNSVG",0,45,0.990157480314961,"0° vs 45°"
"nnsvg","NNSVG",0,60,0.989173228346457,"0° vs 60°"
"nnsvg","NNSVG",30,45,0.989194499017682,"30° vs 45°"
"nnsvg","NNSVG",30,60,0.992125984251969,"30° vs 60°"
"nnsvg","NNSVG",45,60,0.991133004926108,"45° vs 60°"
"smash","SMASH",0,30,0.968983957219251,"0° vs 30°"
"smash","SMASH",0,45,0.964930924548353,"0° vs 45°"
"smash","SMASH",0,60,0.965153115100317,"0° vs 60°"
"smash","SMASH",30,45,0.982646420824295,"30° vs 45°"
"smash","SMASH",30,60,0.972132904608789,"30° vs 60°"
"smash","SMASH",45,60,0.984962406015038,"45° vs 60°"
"sparkx","SPARKX",0,30,0.937290033594625,"0° vs 30°"
"sparkx","SPARKX",0,45,0.950782997762864,"0° vs 45°"
"sparkx","SPARKX",0,60,0.96551724137931,"0° vs 60°"
"sparkx","SPARKX",30,45,0.972190034762457,"30° vs 45°"
"sparkx","SPARKX",30,60,0.944757609921082,"30° vs 60°"
"sparkx","SPARKX",45,60,0.969422423556059,"45° vs 60°"
"spatialde","SPATIALDE",0,30,0.989443378119002,"0° vs 30°"
"spatialde","SPATIALDE",0,45,0.990430622009569,"0° vs 45°"
"spatialde","SPATIALDE",0,60,0.989382239382239,"0° vs 60°"
"spatialde","SPATIALDE",30,45,0.991387559808612,"30° vs 45°"
"spatialde","SPATIALDE",30,60,0.988428158148505,"30° vs 60°"
"spatialde","SPATIALDE",45,60,0.981800766283525,"45° vs 60°"
