"tool","tool_label","angle","runtime_sec"
"moransi","MORANSI",0,10.6148951053619
"moransi","MORANSI",30,2.06049275398254
"moransi","MORANSI",45,2.16014528274536
"moransi","MORANSI",60,2.08940505981445
"nnsvg","NNSVG",0,165.384999999995
"nnsvg","NNSVG",30,162.840000000004
"nnsvg","NNSVG",45,166.978000000003
"nnsvg","NNSVG",60,170.908000000003
"smash","SMASH",0,3.40056848526001
"smash","SMASH",30,3.85099792480469
"smash","SMASH",45,3.84557962417603
"smash","SMASH",60,3.81833124160767
"sparkx","SPARKX",0,0.782000000006519
"sparkx","SPARKX",30,0.68300000000454
"sparkx","SPARKX",45,1.25900000000547
"sparkx","SPARKX",60,0.67500000000291
"spatialde","SPATIALDE",0,25.2504854202271
"spatialde","SPATIALDE",30,22.7520723342896
"spatialde","SPATIALDE",45,22.1527817249298
"spatialde","SPATIALDE",60,22.1416640281677
