"tool","tool_label","alpha","n_total","n_significant","sensitivity"
"moransi","MORANSI",0.05,50,37,0.74
"moransi","MORANSI",0.1,50,47,0.94
"moransi","MORANSI",0.15,50,50,1
"moransi","MORANSI",0.2,50,50,1
"moransi","MORANSI",0.25,50,50,1
"moransi","MORANSI",0.3,50,50,1
"moransi","MORANSI",0.35,50,50,1
"moransi","MORANSI",0.4,50,50,1
"moransi","MORANSI",0.45,50,50,1
"moransi","MORANSI",0.5,50,50,1
"moransi","MORANSI",0.55,50,50,1
"moransi","MORANSI",0.6,50,50,1
"moransi","MORANSI",0.65,50,50,1
"moransi","MORANSI",0.7,50,50,1
"moransi","MORANSI",0.75,50,50,1
"moransi","MORANSI",0.8,50,50,1
"moransi","MORANSI",0.85,50,50,1
"moransi","MORANSI",0.9,50,50,1
"moransi","MORANSI",0.95,50,50,1
"moransi","MORANSI",1,50,50,1
"nnsvg","NNSVG",0.05,50,36,0.72
"nnsvg","NNSVG",0.1,50,45,0.9
"nnsvg","NNSVG",0.15,50,50,1
"nnsvg","NNSVG",0.2,50,50,1
"nnsvg","NNSVG",0.25,50,50,1
"nnsvg","NNSVG",0.3,50,50,1
"nnsvg","NNSVG",0.35,50,50,1
"nnsvg","NNSVG",0.4,50,50,1
"nnsvg","NNSVG",0.45,50,50,1
"nnsvg","NNSVG",0.5,50,50,1
"nnsvg","NNSVG",0.55,50,50,1
"nnsvg","NNSVG",0.6,50,50,1
"nnsvg","NNSVG",0.65,50,50,1
"nnsvg","NNSVG",0.7,50,50,1
"nnsvg","NNSVG",0.75,50,50,1
"nnsvg","NNSVG",0.8,50,50,1
"nnsvg","NNSVG",0.85,50,50,1
"nnsvg","NNSVG",0.9,50,50,1
"nnsvg","NNSVG",0.95,50,50,1
"nnsvg","NNSVG",1,50,50,1
"smash","SMASH",0.05,50,6,0.12
"smash","SMASH",0.1,50,27,0.54
"smash","SMASH",0.15,50,48,0.96
"smash","SMASH",0.2,50,50,1
"smash","SMASH",0.25,50,50,1
"smash","SMASH",0.3,50,50,1
"smash","SMASH",0.35,50,50,1
"smash","SMASH",0.4,50,50,1
"smash","SMASH",0.45,50,50,1
"smash","SMASH",0.5,50,50,1
"smash","SMASH",0.55,50,50,1
"smash","SMASH",0.6,50,50,1
"smash","SMASH",0.65,50,50,1
"smash","SMASH",0.7,50,50,1
"smash","SMASH",0.75,50,50,1
"smash","SMASH",0.8,50,50,1
"smash","SMASH",0.85,50,50,1
"smash","SMASH",0.9,50,50,1
"smash","SMASH",0.95,50,50,1
"smash","SMASH",1,50,50,1
"sparkx","SPARKX",0.05,50,0,0
"sparkx","SPARKX",0.1,50,10,0.2
"sparkx","SPARKX",0.15,50,36,0.72
"sparkx","SPARKX",0.2,50,45,0.9
"sparkx","SPARKX",0.25,50,47,0.94
"sparkx","SPARKX",0.3,50,49,0.98
"sparkx","SPARKX",0.35,50,49,0.98
"sparkx","SPARKX",0.4,50,50,1
"sparkx","SPARKX",0.45,50,50,1
"sparkx","SPARKX",0.5,50,50,1
"sparkx","SPARKX",0.55,50,50,1
"sparkx","SPARKX",0.6,50,50,1
"sparkx","SPARKX",0.65,50,50,1
"sparkx","SPARKX",0.7,50,50,1
"sparkx","SPARKX",0.75,50,50,1
"sparkx","SPARKX",0.8,50,50,1
"sparkx","SPARKX",0.85,50,50,1
"sparkx","SPARKX",0.9,50,50,1
"sparkx","SPARKX",0.95,50,50,1
"sparkx","SPARKX",1,50,50,1
"spatialde","SPATIALDE",0.05,50,50,1
"spatialde","SPATIALDE",0.1,50,49,0.98
"spatialde","SPATIALDE",0.15,50,50,1
"spatialde","SPATIALDE",0.2,50,50,1
"spatialde","SPATIALDE",0.25,50,50,1
"spatialde","SPATIALDE",0.3,50,50,1
"spatialde","SPATIALDE",0.35,50,50,1
"spatialde","SPATIALDE",0.4,50,50,1
"spatialde","SPATIALDE",0.45,50,50,1
"spatialde","SPATIALDE",0.5,50,50,1
"spatialde","SPATIALDE",0.55,50,50,1
"spatialde","SPATIALDE",0.6,50,50,1
"spatialde","SPATIALDE",0.65,50,50,1
"spatialde","SPATIALDE",0.7,50,50,1
"spatialde","SPATIALDE",0.75,50,50,1
"spatialde","SPATIALDE",0.8,50,50,1
"spatialde","SPATIALDE",0.85,50,50,1
"spatialde","SPATIALDE",0.9,50,50,1
"spatialde","SPATIALDE",0.95,50,50,1
"spatialde","SPATIALDE",1,50,50,1
