"tool","tool_label","angle","auroc_any","auprc_any"
"moransi","MORANSI",0,0.9535,0.997591161702328
"moransi","MORANSI",30,0.95348,0.997590648179108
"moransi","MORANSI",45,0.95352,0.997592560155631
"moransi","MORANSI",60,0.95348,0.997590514335058
"nnsvg","NNSVG",0,0.95738,0.997804883344346
"nnsvg","NNSVG",30,0.95704,0.997778856637306
"nnsvg","NNSVG",45,0.95842,0.997849396509413
"nnsvg","NNSVG",60,0.95746,0.997802660184134
"smash","SMASH",0,0.97802,0.998566594762723
"smash","SMASH",30,0.97124,0.998043467527462
"smash","SMASH",45,0.97062,0.998259998818847
"smash","SMASH",60,0.96876,0.99819030925096
"sparkx","SPARKX",0,0.97656,0.998839692082701
"sparkx","SPARKX",30,0.96108,0.998065643693101
"sparkx","SPARKX",45,0.96074,0.998045801882693
"sparkx","SPARKX",60,0.96258,0.998136521706764
"spatialde","SPATIALDE",0,0.95953,0.997909764790223
"spatialde","SPATIALDE",30,0.78285,0.959527838836042
"spatialde","SPATIALDE",45,0.76556,0.958487677981112
"spatialde","SPATIALDE",60,0.79117,0.959603310839587
